50.3956	58
50.9209	58.0116
51.4461	46.0233
51.9713	52.0349
52.4965	58.0466
53.0237	60.0582
53.5488	54.0699
54.0739	56.0815
54.599	52.0931
55.124	60.1048
55.6511	58.1164
56.1761	58.1281
56.701	66.1397
57.2259	66.1513
57.7508	70.163
58.2756	66.1746
58.8004	76.1863
59.3273	86.1979
59.8521	82.2096
60.3768	80.2212
60.9015	86.2328
61.4261	88.2445
61.9508	94.2561
62.4754	94.2678
63	96.2794
63.5266	120.291
64.0511	106.303
64.5756	126.314
65.1001	114.326
65.6245	122.338
66.1489	126.349
66.6733	144.361
67.1976	140.373
67.7219	136.384
68.2462	152.396
68.7705	136.407
69.2947	146.419
69.8189	142.431
70.343	148.442
70.8672	152.454
71.3913	162.466
71.9153	160.477
72.4394	144.489
72.9634	164.501
73.4874	152.512
74.0113	162.524
74.5353	162.536
75.0592	162.547
75.583	156.559
76.1069	146.57
76.6307	162.582
77.1545	130.594
77.6782	138.605
78.2019	144.617
78.7256	140.629
79.2493	128.64
79.7729	146.652
80.2965	132.664
80.8201	140.675
81.3437	128.687
81.8672	142.699
82.3885	152.71
82.912	168.722
83.4354	192.733
83.9588	190.745
84.4822	170.757
85.0055	190.768
85.5288	164.78
86.0521	170.792
86.5754	144.803
87.0965	146.815
87.6197	130.827
88.1428	136.838
88.666	130.85
89.1891	126.862
89.7121	134.873
90.2331	124.885
90.7561	136.896
91.2791	150.908
91.802	134.92
92.325	126.931
92.8479	110.943
93.3686	108.955
93.8914	122.966
94.4143	136.978
94.937	116.99
95.4577	123.001
95.9804	117.013
96.5031	115.024
97.0258	115.036
97.5484	111.048
98.0689	117.059
98.5915	103.071
99.114	119.083
99.6365	129.094
100.157	119.106
100.679	113.118
101.202	115.129
101.722	111.141
102.244	123.153
102.767	111.164
103.289	99.1758
103.809	111.187
104.332	97.1991
104.854	115.211
105.374	105.222
105.896	105.234
106.418	117.246
106.938	111.257
107.46	115.269
107.982	95.2806
108.502	101.292
109.024	95.3039
109.544	103.316
110.066	103.327
110.588	97.3388
111.108	95.3505
111.629	97.3621
112.151	99.3737
112.671	85.3854
113.193	93.397
113.712	93.4087
114.234	93.4203
114.756	89.432
115.275	105.444
115.797	91.4552
116.316	83.4669
116.838	93.4785
117.357	91.4902
117.879	101.502
118.4	85.5135
118.92	93.5251
119.441	95.5367
119.96	105.548
120.482	95.56
121.001	89.5717
121.522	85.5833
122.041	95.5949
122.562	107.607
123.082	103.618
123.603	93.6299
124.122	87.6415
124.643	93.6532
125.162	99.6648
125.683	93.6764
126.202	93.6881
126.723	93.6997
127.242	91.7114
127.761	91.723
128.281	95.7346
128.8	89.7463
