window_low_cm1,window_high_cm1,model,baseline_degree,status,center_cm1,fwhm_cm1,area_intensity_cm1,height_intensity,lag1_correlation,flags
495,545,lorentzian,0,ok,520.5164753965848,3.482479912921512,139265.96385511113,25458.715749953873,0.7129877496082262,correlated_residuals_or_model_mismatch
495,545,lorentzian,1,ok,520.5152020761238,3.4813744738844323,139218.05298765126,25458.038446397477,0.6239591360681972,correlated_residuals_or_model_mismatch
495,545,lorentzian,2,ok,520.5151713314945,3.5022647856008766,140218.18555654876,25487.984157511517,0.6065422275734212,correlated_residuals_or_model_mismatch
495,545,voigt,0,ok,520.5166552036974,3.5407446256044772,136845.71322303714,25187.838778710484,0.7942198909286936,correlated_residuals_or_model_mismatch
495,545,voigt,1,ok,520.5153532663401,3.5405287478735112,136759.5460696436,25183.088446427384,0.6072434020797963,correlated_residuals_or_model_mismatch
495,545,voigt,2,ok,520.5153578769884,3.5401137276745307,136649.04946321418,25176.48298857434,0.6079561091598268,correlated_residuals_or_model_mismatch
500,540,lorentzian,0,ok,520.5164685829429,3.486719198879031,139455.75291336878,25462.41455394553,0.7036031526053917,correlated_residuals_or_model_mismatch
500,540,lorentzian,1,ok,520.5147217983116,3.4851221561339427,139384.90981191085,25461.141842548503,0.6009316763094742,correlated_residuals_or_model_mismatch
500,540,lorentzian,2,ok,520.5146284892279,3.513092949864796,140777.89157899565,25510.850572529733,0.5638985184934993,correlated_residuals_or_model_mismatch
500,540,voigt,0,ok,520.5166379867209,3.540635784582971,136783.1870095961,25184.255037471798,0.7828578483803379,correlated_residuals_or_model_mismatch
500,540,voigt,1,ok,520.5148339567432,3.540230519818359,136650.04137651753,25176.83844157848,0.5311420768913934,correlated_residuals_or_model_mismatch
500,540,voigt,2,ok,520.5148325763143,3.540341254769898,136674.4143337539,25178.322685290477,0.5307979024381907,correlated_residuals_or_model_mismatch
490,550,lorentzian,0,ok,520.5164732131615,3.4799779494094873,139156.19106285903,25456.937936348088,0.7133673672224029,correlated_residuals_or_model_mismatch
490,550,lorentzian,1,ok,520.515612821166,3.4795434279366813,139137.9160593888,25456.773362346976,0.6506110860535129,correlated_residuals_or_model_mismatch
490,550,lorentzian,2,ok,520.5156267883177,3.494735642161447,139845.11409125457,25474.93539294733,0.6466940461408917,correlated_residuals_or_model_mismatch
490,550,voigt,0,ok,520.516659835954,3.5408524332425912,136912.66840318296,25191.675104160855,0.7942299385200551,correlated_residuals_or_model_mismatch
490,550,voigt,1,ok,520.5157920023114,3.5407725441481617,136881.2988538081,25190.01544697995,0.6821172348119657,correlated_residuals_or_model_mismatch
490,550,voigt,2,ok,520.515796201661,3.539974634542106,136627.4403969086,25175.02504695256,0.6818340123110372,correlated_residuals_or_model_mismatch
